timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752018478081,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-35,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018478096,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-36,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478112,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-37,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478128,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-39,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478128,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-38,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478143,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-40,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018478158,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-41,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478158,108,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-42,text,true,,708,609,100,100,https://dummyjson.com/products/add,108,0,0
1752018478189,107,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-43,text,true,,708,609,100,100,https://dummyjson.com/products/add,107,0,0
1752018478189,110,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-45,text,true,,708,609,100,100,https://dummyjson.com/products/add,110,0,0
1752018478189,110,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-44,text,true,,708,609,100,100,https://dummyjson.com/products/add,110,0,0
1752018478204,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-46,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478204,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-47,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478219,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-48,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478234,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-50,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478234,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-49,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478250,110,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-51,text,true,,708,609,100,100,https://dummyjson.com/products/add,110,0,0
1752018478265,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-53,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478265,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-52,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478281,105,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-54,text,true,,708,609,100,100,https://dummyjson.com/products/add,105,0,0
1752018478281,105,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-55,text,true,,708,609,100,100,https://dummyjson.com/products/add,105,0,0
1752018478296,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-56,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478312,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-57,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478327,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-58,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478327,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-59,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478342,107,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-60,text,true,,708,609,100,100,https://dummyjson.com/products/add,107,0,0
1752018478342,118,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-61,text,true,,708,609,100,100,https://dummyjson.com/products/add,118,0,0
1752018478357,106,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-62,text,true,,708,609,100,100,https://dummyjson.com/products/add,106,0,0
1752018478372,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-63,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478388,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-64,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478388,107,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-65,text,true,,708,609,100,100,https://dummyjson.com/products/add,107,0,0
1752018478434,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-67,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478434,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-69,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
